epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2418,1.04198,8.53395,0.95441,0.66093,0.35459,0.34656,0.23531,1.10054,2.91687,1.05293,0.00015554,0.00015554,0.00015554
2,32.914,1.01992,3.1418,0.91662,0.8045,0.52856,0.61101,0.43166,1.04223,2.22145,1.02595,0.000316874,0.000316874,0.000316874
3,39.1512,0.97994,1.89034,0.93865,0.76766,0.5048,0.55842,0.3844,1.0866,1.63877,1.03631,0.000472708,0.000472708,0.000472708
4,46.2282,1.016,1.64237,0.98191,0.55442,0.66905,0.6463,0.41591,1.11024,1.25679,1.08164,0.000623043,0.000623043,0.000623043
5,52.3601,1.0717,1.31898,0.97355,0.85902,0.66904,0.79032,0.51978,1.07625,1.04873,1.0964,0.000767879,0.000767879,0.000767879
6,59.3463,1.09274,1.16481,0.94674,0.73287,0.71794,0.75418,0.53401,1.0249,0.96592,1.08087,0.000907215,0.000907215,0.000907215
7,65.5648,0.91339,0.88597,0.93998,0.80647,0.71755,0.87387,0.61281,0.9827,0.87565,1.01874,0.00100101,0.00100101,0.00100101
8,72.2063,0.96509,0.9014,0.91947,0.87049,0.73303,0.87536,0.60935,0.99512,0.93279,1.07394,0.000982679,0.000982679,0.000982679
9,78.4752,0.91798,0.83736,0.89573,0.9799,0.78551,0.85691,0.61469,0.94075,0.92139,1.10563,0.000964348,0.000964348,0.000964348
10,85.1279,1.07766,0.82048,0.93307,0.73312,0.79201,0.87302,0.61634,0.96596,1.0412,1.07137,0.000946016,0.000946016,0.000946016
11,91.3316,1.04044,0.75118,0.97092,0.7868,0.75853,0.84365,0.64855,0.91045,1.04454,1.03599,0.000927685,0.000927685,0.000927685
12,98.3074,0.88595,0.70003,0.9103,0.86388,0.73097,0.83567,0.58692,0.92058,0.86333,1.03235,0.000909353,0.000909353,0.000909353
13,104.139,0.98405,0.76973,0.94979,0.8047,0.83497,0.93463,0.59755,0.95569,0.80534,1.02303,0.000891022,0.000891022,0.000891022
14,111.089,0.8497,0.62948,0.919,0.93519,0.90569,0.95655,0.70496,0.80885,0.5842,1.01023,0.000872691,0.000872691,0.000872691
15,117.445,0.86487,0.63124,0.87049,0.8876,0.88785,0.96081,0.67894,0.8506,0.54666,0.98036,0.000854359,0.000854359,0.000854359
16,124.359,0.89498,0.65841,0.87525,0.88459,0.87011,0.93689,0.6249,0.85062,0.5854,1.01222,0.000836027,0.000836027,0.000836027
